tod_bucket,n,p_true
9:15,191,0.1728
9:45,211,0.2701
10:15,210,0.3143
10:45,210,0.3286
11:15,239,0.3891
11:45,239,0.4017
12:15,265,0.5358
12:45,263,0.5095
13:15,263,0.4601
13:45,266,0.3722
14:15,158,0.1962
14:45,24,0.5833
