tod_bucket,n,p_true
9:15,191,0.4084
9:45,211,0.564
10:15,210,0.5714
10:45,210,0.5286
11:15,239,0.4435
11:45,239,0.5649
12:15,265,0.3208
12:45,263,0.4487
13:15,263,0.4373
13:45,266,0.4774
14:15,158,0.6772
14:45,24,0.3333
